feature_name,availability_class,prediction_safe,reason,source_module
fire_hotspot_count_roll_median_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_max_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_min_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_std_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_var_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_median_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_max_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_min_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_std_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_var_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_median_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_max_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_min_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_std_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_var_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_median_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_max_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_min_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_std_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_var_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_median_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_max_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_min_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_std_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_var_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_median_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_max_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_min_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_std_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
wind_speed_kmh_roll_var_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
