feature_A,feature_B,pearson_correlation,spearman_correlation,feature_group_A,feature_group_B,proposed_representative,reason
pm25_roll_median_14d,pm10_roll_mean_7d,0.9605,0.9636,pm25_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9605, Spearman: 0.9636)"
pm25_roll_median_14d,pm10_roll_median_7d,0.9475,0.9525,pm25_historical,other_pollutant_historical,pm10_roll_median_7d,"High pairwise correlation (Pearson: 0.9475, Spearman: 0.9525)"
pm25_roll_median_14d,pm10_roll_max_7d,0.9507,0.952,pm25_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9507, Spearman: 0.9520)"
pm25_roll_median_14d,pm10_roll_mean_14d,0.9785,0.986,pm25_historical,other_pollutant_historical,pm10_roll_mean_14d,"High pairwise correlation (Pearson: 0.9785, Spearman: 0.9860)"
pm25_roll_median_14d,pm10_roll_median_14d,0.9778,0.9845,pm25_historical,other_pollutant_historical,pm25_roll_median_14d,"High pairwise correlation (Pearson: 0.9778, Spearman: 0.9845)"
pm25_roll_median_14d,pm10_roll_max_14d,0.9532,0.9664,pm25_historical,other_pollutant_historical,pm10_roll_max_14d,"High pairwise correlation (Pearson: 0.9532, Spearman: 0.9664)"
pm25_roll_max_14d,pm25_roll_mean_30d,0.9551,0.9079,pm25_historical,pm25_historical,pm25_roll_max_14d,"High pairwise correlation (Pearson: 0.9551, Spearman: 0.9079)"
pm25_roll_max_14d,pm10_roll_max_14d,0.9777,0.9507,pm25_historical,other_pollutant_historical,pm25_roll_max_14d,"High pairwise correlation (Pearson: 0.9777, Spearman: 0.9507)"
pm25_roll_min_14d,pm10_roll_min_14d,0.9732,0.9587,pm25_historical,other_pollutant_historical,pm25_roll_min_14d,"High pairwise correlation (Pearson: 0.9732, Spearman: 0.9587)"
pm25_roll_std_14d,pm25_roll_var_14d,0.9748,1.0,pm25_historical,pm25_historical,pm25_roll_std_14d,"High pairwise correlation (Pearson: 0.9748, Spearman: 1.0000)"
pm25_roll_std_14d,pm10_roll_std_14d,0.9662,0.9767,pm25_historical,other_pollutant_historical,pm25_roll_std_14d,"High pairwise correlation (Pearson: 0.9662, Spearman: 0.9767)"
pm25_roll_std_14d,pm10_roll_var_14d,0.9584,0.9767,pm25_historical,other_pollutant_historical,pm25_roll_std_14d,"High pairwise correlation (Pearson: 0.9584, Spearman: 0.9767)"
pm25_roll_var_14d,pm10_roll_std_14d,0.9279,0.9767,pm25_historical,other_pollutant_historical,pm25_roll_var_14d,"High pairwise correlation (Pearson: 0.9279, Spearman: 0.9767)"
pm25_roll_var_14d,pm10_roll_var_14d,0.9622,0.9767,pm25_historical,other_pollutant_historical,pm25_roll_var_14d,"High pairwise correlation (Pearson: 0.9622, Spearman: 0.9767)"
pm25_roll_mean_30d,pm25_roll_median_30d,0.9961,0.9921,pm25_historical,pm25_historical,pm25_roll_mean_30d,"High pairwise correlation (Pearson: 0.9961, Spearman: 0.9921)"
pm25_roll_mean_30d,pm10_roll_mean_14d,0.9523,0.9398,pm25_historical,other_pollutant_historical,pm25_roll_mean_30d,"High pairwise correlation (Pearson: 0.9523, Spearman: 0.9398)"
pm25_roll_mean_30d,pm10_roll_mean_30d,0.9819,0.9838,pm25_historical,other_pollutant_historical,pm25_roll_mean_30d,"High pairwise correlation (Pearson: 0.9819, Spearman: 0.9838)"
pm25_roll_mean_30d,pm10_roll_median_30d,0.9782,0.9716,pm25_historical,other_pollutant_historical,pm25_roll_mean_30d,"High pairwise correlation (Pearson: 0.9782, Spearman: 0.9716)"
pm25_roll_mean_30d,pm10_roll_max_30d,0.9464,0.9508,pm25_historical,other_pollutant_historical,pm10_roll_max_30d,"High pairwise correlation (Pearson: 0.9464, Spearman: 0.9508)"
pm25_roll_median_30d,pm10_roll_mean_30d,0.9779,0.9849,pm25_historical,other_pollutant_historical,pm10_roll_mean_30d,"High pairwise correlation (Pearson: 0.9779, Spearman: 0.9849)"
pm25_roll_median_30d,pm10_roll_median_30d,0.9802,0.9806,pm25_historical,other_pollutant_historical,pm25_roll_median_30d,"High pairwise correlation (Pearson: 0.9802, Spearman: 0.9806)"
pm25_roll_max_30d,pm10_roll_max_30d,0.9784,0.9515,pm25_historical,other_pollutant_historical,pm25_roll_max_30d,"High pairwise correlation (Pearson: 0.9784, Spearman: 0.9515)"
pm25_roll_min_30d,pm10_roll_min_30d,0.9829,0.9729,pm25_historical,other_pollutant_historical,pm25_roll_min_30d,"High pairwise correlation (Pearson: 0.9829, Spearman: 0.9729)"
pm25_roll_std_30d,pm25_roll_var_30d,0.9816,1.0,pm25_historical,pm25_historical,pm25_roll_std_30d,"High pairwise correlation (Pearson: 0.9816, Spearman: 1.0000)"
pm25_roll_std_30d,pm10_roll_std_30d,0.9678,0.9795,pm25_historical,other_pollutant_historical,pm25_roll_std_30d,"High pairwise correlation (Pearson: 0.9678, Spearman: 0.9795)"
pm25_roll_std_30d,pm10_roll_var_30d,0.9729,0.9795,pm25_historical,other_pollutant_historical,pm25_roll_std_30d,"High pairwise correlation (Pearson: 0.9729, Spearman: 0.9795)"
pm25_roll_var_30d,pm10_roll_std_30d,0.9331,0.9795,pm25_historical,other_pollutant_historical,pm25_roll_var_30d,"High pairwise correlation (Pearson: 0.9331, Spearman: 0.9795)"
pm25_roll_var_30d,pm10_roll_var_30d,0.9684,0.9795,pm25_historical,other_pollutant_historical,pm25_roll_var_30d,"High pairwise correlation (Pearson: 0.9684, Spearman: 0.9795)"
pm10_roll_mean_3d,pm10_roll_median_3d,0.9856,0.9819,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_3d,"High pairwise correlation (Pearson: 0.9856, Spearman: 0.9819)"
pm10_roll_mean_3d,pm10_roll_max_3d,0.9807,0.9778,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9807, Spearman: 0.9778)"
pm10_roll_mean_3d,pm10_roll_min_3d,0.9622,0.955,other_pollutant_historical,other_pollutant_historical,pm10_roll_min_3d,"High pairwise correlation (Pearson: 0.9622, Spearman: 0.9550)"
pm10_roll_mean_3d,pm10_roll_mean_7d,0.9707,0.9594,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_3d,"High pairwise correlation (Pearson: 0.9707, Spearman: 0.9594)"
pm10_roll_mean_3d,pm10_roll_median_7d,0.9613,0.9445,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_3d,"High pairwise correlation (Pearson: 0.9613, Spearman: 0.9445)"
pm10_roll_median_3d,pm10_roll_max_3d,0.9541,0.9481,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9541, Spearman: 0.9481)"
pm10_roll_max_3d,pm10_roll_mean_7d,0.9661,0.9566,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9661, Spearman: 0.9566)"
pm10_roll_max_3d,pm10_roll_median_7d,0.9534,0.9411,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9534, Spearman: 0.9411)"
pm10_roll_max_3d,pm10_roll_max_7d,0.9632,0.9525,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9632, Spearman: 0.9525)"
pm10_roll_std_3d,pm10_roll_var_3d,0.938,1.0,other_pollutant_historical,other_pollutant_historical,pm10_roll_std_3d,"High pairwise correlation (Pearson: 0.9380, Spearman: 1.0000)"
pm10_roll_mean_7d,pm10_roll_median_7d,0.9901,0.9834,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9901, Spearman: 0.9834)"
pm10_roll_mean_7d,pm10_roll_max_7d,0.9784,0.973,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9784, Spearman: 0.9730)"
pm10_roll_mean_7d,pm10_roll_min_7d,0.9548,0.9431,other_pollutant_historical,other_pollutant_historical,pm10_roll_min_7d,"High pairwise correlation (Pearson: 0.9548, Spearman: 0.9431)"
pm10_roll_mean_7d,pm10_roll_mean_14d,0.9811,0.9619,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9811, Spearman: 0.9619)"
pm10_roll_mean_7d,pm10_roll_median_14d,0.9764,0.9527,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9764, Spearman: 0.9527)"
pm10_roll_mean_7d,pm10_roll_max_14d,0.954,0.9488,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9540, Spearman: 0.9488)"
pm10_roll_median_7d,pm10_roll_max_7d,0.9571,0.9478,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9571, Spearman: 0.9478)"
pm10_roll_median_7d,pm10_roll_mean_14d,0.9694,0.956,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_14d,"High pairwise correlation (Pearson: 0.9694, Spearman: 0.9560)"
pm10_roll_median_7d,pm10_roll_median_14d,0.9675,0.9531,other_pollutant_historical,other_pollutant_historical,pm10_roll_median_7d,"High pairwise correlation (Pearson: 0.9675, Spearman: 0.9531)"
pm10_roll_max_7d,pm10_roll_mean_14d,0.9653,0.9463,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9653, Spearman: 0.9463)"
pm10_roll_max_7d,pm10_roll_median_14d,0.9605,0.9378,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9605, Spearman: 0.9378)"
pm10_roll_max_7d,pm10_roll_max_14d,0.9667,0.9649,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9667, Spearman: 0.9649)"
pm10_roll_std_7d,pm10_roll_var_7d,0.9619,1.0,other_pollutant_historical,other_pollutant_historical,pm10_roll_std_7d,"High pairwise correlation (Pearson: 0.9619, Spearman: 1.0000)"
pm10_roll_mean_14d,pm10_roll_median_14d,0.9959,0.9907,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_14d,"High pairwise correlation (Pearson: 0.9959, Spearman: 0.9907)"
pm10_roll_mean_14d,pm10_roll_max_14d,0.9712,0.9639,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_14d,"High pairwise correlation (Pearson: 0.9712, Spearman: 0.9639)"
pm10_roll_mean_14d,pm10_roll_mean_30d,0.9665,0.93,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_14d,"High pairwise correlation (Pearson: 0.9665, Spearman: 0.9300)"
pm10_roll_mean_14d,pm10_roll_median_30d,0.9628,0.9321,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_14d,"High pairwise correlation (Pearson: 0.9628, Spearman: 0.9321)"
pm10_roll_median_14d,pm10_roll_max_14d,0.9615,0.9532,other_pollutant_historical,other_pollutant_historical,pm10_roll_max_14d,"High pairwise correlation (Pearson: 0.9615, Spearman: 0.9532)"
pm10_roll_median_14d,pm10_roll_mean_30d,0.9628,0.9326,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_30d,"High pairwise correlation (Pearson: 0.9628, Spearman: 0.9326)"
pm10_roll_median_14d,pm10_roll_median_30d,0.9623,0.9376,other_pollutant_historical,other_pollutant_historical,pm10_roll_median_14d,"High pairwise correlation (Pearson: 0.9623, Spearman: 0.9376)"
pm10_roll_std_14d,pm10_roll_var_14d,0.9754,1.0,other_pollutant_historical,other_pollutant_historical,pm10_roll_std_14d,"High pairwise correlation (Pearson: 0.9754, Spearman: 1.0000)"
pm10_roll_mean_30d,pm10_roll_median_30d,0.9957,0.9906,other_pollutant_historical,other_pollutant_historical,pm10_roll_mean_30d,"High pairwise correlation (Pearson: 0.9957, Spearman: 0.9906)"
pm10_roll_std_30d,pm10_roll_var_30d,0.983,1.0,other_pollutant_historical,other_pollutant_historical,pm10_roll_std_30d,"High pairwise correlation (Pearson: 0.9830, Spearman: 1.0000)"
temperature_c_roll_mean_3d,temperature_c_roll_median_3d,0.999,0.998,meteorological,meteorological,temperature_c_roll_mean_3d,"High pairwise correlation (Pearson: 0.9990, Spearman: 0.9980)"
temperature_c_roll_mean_3d,temperature_c_roll_max_3d,0.9966,0.9949,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9966, Spearman: 0.9949)"
temperature_c_roll_mean_3d,temperature_c_roll_min_3d,0.9965,0.994,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9965, Spearman: 0.9940)"
temperature_c_roll_mean_3d,temperature_c_roll_mean_7d,0.9866,0.9742,meteorological,meteorological,temperature_c_roll_mean_3d,"High pairwise correlation (Pearson: 0.9866, Spearman: 0.9742)"
temperature_c_roll_mean_3d,temperature_c_roll_median_7d,0.9852,0.9749,meteorological,meteorological,temperature_c_roll_mean_3d,"High pairwise correlation (Pearson: 0.9852, Spearman: 0.9749)"
temperature_c_roll_mean_3d,temperature_c_roll_max_7d,0.9742,0.958,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9742, Spearman: 0.9580)"
temperature_c_roll_mean_3d,temperature_c_roll_min_7d,0.9799,0.9686,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9799, Spearman: 0.9686)"
temperature_c_roll_mean_3d,temperature_c_roll_mean_14d,0.9619,0.9213,meteorological,meteorological,temperature_c_roll_mean_3d,"High pairwise correlation (Pearson: 0.9619, Spearman: 0.9213)"
temperature_c_roll_mean_3d,temperature_c_roll_median_14d,0.9607,0.9222,meteorological,meteorological,temperature_c_roll_mean_3d,"High pairwise correlation (Pearson: 0.9607, Spearman: 0.9222)"
temperature_c_roll_mean_3d,temperature_c_roll_max_14d,0.9535,0.9143,meteorological,meteorological,temperature_c_roll_mean_3d,"High pairwise correlation (Pearson: 0.9535, Spearman: 0.9143)"
temperature_c_roll_median_3d,temperature_c_roll_max_3d,0.9947,0.992,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9947, Spearman: 0.9920)"
temperature_c_roll_median_3d,temperature_c_roll_min_3d,0.9944,0.9908,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9944, Spearman: 0.9908)"
temperature_c_roll_median_3d,temperature_c_roll_mean_7d,0.9842,0.9712,meteorological,meteorological,temperature_c_roll_mean_7d,"High pairwise correlation (Pearson: 0.9842, Spearman: 0.9712)"
temperature_c_roll_median_3d,temperature_c_roll_median_7d,0.9827,0.972,meteorological,meteorological,temperature_c_roll_median_3d,"High pairwise correlation (Pearson: 0.9827, Spearman: 0.9720)"
temperature_c_roll_median_3d,temperature_c_roll_max_7d,0.971,0.9548,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9710, Spearman: 0.9548)"
temperature_c_roll_median_3d,temperature_c_roll_min_7d,0.9776,0.9654,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9776, Spearman: 0.9654)"
temperature_c_roll_median_3d,temperature_c_roll_mean_14d,0.9594,0.9189,meteorological,meteorological,temperature_c_roll_mean_14d,"High pairwise correlation (Pearson: 0.9594, Spearman: 0.9189)"
temperature_c_roll_median_3d,temperature_c_roll_median_14d,0.9581,0.9196,meteorological,meteorological,temperature_c_roll_median_3d,"High pairwise correlation (Pearson: 0.9581, Spearman: 0.9196)"
temperature_c_roll_median_3d,temperature_c_roll_max_14d,0.9508,0.9121,meteorological,meteorological,temperature_c_roll_max_14d,"High pairwise correlation (Pearson: 0.9508, Spearman: 0.9121)"
temperature_c_roll_max_3d,temperature_c_roll_min_3d,0.9872,0.9809,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9872, Spearman: 0.9809)"
temperature_c_roll_max_3d,temperature_c_roll_mean_7d,0.9849,0.9731,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9849, Spearman: 0.9731)"
temperature_c_roll_max_3d,temperature_c_roll_median_7d,0.9841,0.975,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9841, Spearman: 0.9750)"
temperature_c_roll_max_3d,temperature_c_roll_max_7d,0.977,0.9627,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9770, Spearman: 0.9627)"
temperature_c_roll_max_3d,temperature_c_roll_min_7d,0.9728,0.9593,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9728, Spearman: 0.9593)"
temperature_c_roll_max_3d,temperature_c_roll_mean_14d,0.9593,0.9206,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9593, Spearman: 0.9206)"
temperature_c_roll_max_3d,temperature_c_roll_median_14d,0.9584,0.9213,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9584, Spearman: 0.9213)"
temperature_c_roll_max_3d,temperature_c_roll_max_14d,0.9553,0.9193,meteorological,meteorological,temperature_c_roll_max_3d,"High pairwise correlation (Pearson: 0.9553, Spearman: 0.9193)"
temperature_c_roll_min_3d,temperature_c_roll_mean_7d,0.9829,0.9656,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9829, Spearman: 0.9656)"
temperature_c_roll_min_3d,temperature_c_roll_median_7d,0.9812,0.9651,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9812, Spearman: 0.9651)"
temperature_c_roll_min_3d,temperature_c_roll_max_7d,0.9667,0.945,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9667, Spearman: 0.9450)"
temperature_c_roll_min_3d,temperature_c_roll_min_7d,0.9816,0.9699,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9816, Spearman: 0.9699)"
temperature_c_roll_min_3d,temperature_c_roll_mean_14d,0.9596,0.9145,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9596, Spearman: 0.9145)"
temperature_c_roll_min_3d,temperature_c_roll_median_14d,0.9578,0.9148,meteorological,meteorological,temperature_c_roll_min_3d,"High pairwise correlation (Pearson: 0.9578, Spearman: 0.9148)"
temperature_c_roll_std_3d,temperature_c_roll_var_3d,0.9297,1.0,meteorological,meteorological,temperature_c_roll_std_3d,"High pairwise correlation (Pearson: 0.9297, Spearman: 1.0000)"
temperature_c_roll_mean_7d,temperature_c_roll_median_7d,0.998,0.9958,meteorological,meteorological,temperature_c_roll_mean_7d,"High pairwise correlation (Pearson: 0.9980, Spearman: 0.9958)"
temperature_c_roll_mean_7d,temperature_c_roll_max_7d,0.9901,0.985,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9901, Spearman: 0.9850)"
temperature_c_roll_mean_7d,temperature_c_roll_min_7d,0.9912,0.9829,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9912, Spearman: 0.9829)"
temperature_c_roll_mean_7d,temperature_c_roll_mean_14d,0.9848,0.962,meteorological,meteorological,temperature_c_roll_mean_7d,"High pairwise correlation (Pearson: 0.9848, Spearman: 0.9620)"
temperature_c_roll_mean_7d,temperature_c_roll_median_14d,0.9847,0.9667,meteorological,meteorological,temperature_c_roll_mean_7d,"High pairwise correlation (Pearson: 0.9847, Spearman: 0.9667)"
temperature_c_roll_mean_7d,temperature_c_roll_max_14d,0.9714,0.9408,meteorological,meteorological,temperature_c_roll_mean_7d,"High pairwise correlation (Pearson: 0.9714, Spearman: 0.9408)"
temperature_c_roll_mean_7d,temperature_c_roll_min_14d,0.9583,0.9301,meteorological,meteorological,temperature_c_roll_mean_7d,"High pairwise correlation (Pearson: 0.9583, Spearman: 0.9301)"
temperature_c_roll_median_7d,temperature_c_roll_max_7d,0.9848,0.9785,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9848, Spearman: 0.9785)"
temperature_c_roll_median_7d,temperature_c_roll_min_7d,0.9879,0.9767,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9879, Spearman: 0.9767)"
temperature_c_roll_median_7d,temperature_c_roll_mean_14d,0.9821,0.9572,meteorological,meteorological,temperature_c_roll_mean_14d,"High pairwise correlation (Pearson: 0.9821, Spearman: 0.9572)"
temperature_c_roll_median_7d,temperature_c_roll_median_14d,0.9817,0.9621,meteorological,meteorological,temperature_c_roll_median_7d,"High pairwise correlation (Pearson: 0.9817, Spearman: 0.9621)"
temperature_c_roll_median_7d,temperature_c_roll_max_14d,0.9668,0.9353,meteorological,meteorological,temperature_c_roll_max_14d,"High pairwise correlation (Pearson: 0.9668, Spearman: 0.9353)"
temperature_c_roll_median_7d,temperature_c_roll_min_14d,0.956,0.9246,meteorological,meteorological,temperature_c_roll_min_14d,"High pairwise correlation (Pearson: 0.9560, Spearman: 0.9246)"
temperature_c_roll_max_7d,temperature_c_roll_min_7d,0.9683,0.9496,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9683, Spearman: 0.9496)"
temperature_c_roll_max_7d,temperature_c_roll_mean_14d,0.9752,0.9495,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9752, Spearman: 0.9495)"
temperature_c_roll_max_7d,temperature_c_roll_median_14d,0.9771,0.9548,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9771, Spearman: 0.9548)"
temperature_c_roll_max_7d,temperature_c_roll_max_14d,0.9771,0.953,meteorological,meteorological,temperature_c_roll_max_7d,"High pairwise correlation (Pearson: 0.9771, Spearman: 0.9530)"
temperature_c_roll_min_7d,temperature_c_roll_mean_14d,0.9787,0.9484,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9787, Spearman: 0.9484)"
temperature_c_roll_min_7d,temperature_c_roll_median_14d,0.9773,0.9518,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9773, Spearman: 0.9518)"
temperature_c_roll_min_7d,temperature_c_roll_max_14d,0.953,0.9105,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9530, Spearman: 0.9105)"
temperature_c_roll_min_7d,temperature_c_roll_min_14d,0.9689,0.945,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9689, Spearman: 0.9450)"
temperature_c_roll_min_7d,temperature_c_roll_mean_30d,0.9514,0.9074,meteorological,meteorological,temperature_c_roll_min_7d,"High pairwise correlation (Pearson: 0.9514, Spearman: 0.9074)"
temperature_c_roll_std_7d,temperature_c_roll_var_7d,0.9563,1.0,meteorological,meteorological,temperature_c_roll_std_7d,"High pairwise correlation (Pearson: 0.9563, Spearman: 1.0000)"
temperature_c_roll_mean_14d,temperature_c_roll_median_14d,0.9985,0.9942,meteorological,meteorological,temperature_c_roll_mean_14d,"High pairwise correlation (Pearson: 0.9985, Spearman: 0.9942)"
temperature_c_roll_mean_14d,temperature_c_roll_max_14d,0.9819,0.958,meteorological,meteorological,temperature_c_roll_max_14d,"High pairwise correlation (Pearson: 0.9819, Spearman: 0.9580)"
temperature_c_roll_mean_14d,temperature_c_roll_min_14d,0.9814,0.9594,meteorological,meteorological,temperature_c_roll_min_14d,"High pairwise correlation (Pearson: 0.9814, Spearman: 0.9594)"
temperature_c_roll_mean_14d,temperature_c_roll_mean_30d,0.9755,0.9445,meteorological,meteorological,temperature_c_roll_mean_14d,"High pairwise correlation (Pearson: 0.9755, Spearman: 0.9445)"
temperature_c_roll_mean_14d,temperature_c_roll_median_30d,0.9731,0.9476,meteorological,meteorological,temperature_c_roll_mean_14d,"High pairwise correlation (Pearson: 0.9731, Spearman: 0.9476)"
temperature_c_roll_mean_14d,temperature_c_roll_max_30d,0.9675,0.9169,meteorological,meteorological,temperature_c_roll_max_30d,"High pairwise correlation (Pearson: 0.9675, Spearman: 0.9169)"
temperature_c_roll_median_14d,temperature_c_roll_max_14d,0.9788,0.9499,meteorological,meteorological,temperature_c_roll_max_14d,"High pairwise correlation (Pearson: 0.9788, Spearman: 0.9499)"
temperature_c_roll_median_14d,temperature_c_roll_min_14d,0.9772,0.9539,meteorological,meteorological,temperature_c_roll_min_14d,"High pairwise correlation (Pearson: 0.9772, Spearman: 0.9539)"
temperature_c_roll_median_14d,temperature_c_roll_mean_30d,0.9717,0.9315,meteorological,meteorological,temperature_c_roll_mean_30d,"High pairwise correlation (Pearson: 0.9717, Spearman: 0.9315)"
temperature_c_roll_median_14d,temperature_c_roll_median_30d,0.9697,0.9364,meteorological,meteorological,temperature_c_roll_median_14d,"High pairwise correlation (Pearson: 0.9697, Spearman: 0.9364)"
temperature_c_roll_median_14d,temperature_c_roll_max_30d,0.9627,0.9082,meteorological,meteorological,temperature_c_roll_max_30d,"High pairwise correlation (Pearson: 0.9627, Spearman: 0.9082)"
temperature_c_roll_max_14d,temperature_c_roll_max_30d,0.971,0.9505,meteorological,meteorological,temperature_c_roll_max_14d,"High pairwise correlation (Pearson: 0.9710, Spearman: 0.9505)"
temperature_c_roll_min_14d,temperature_c_roll_mean_30d,0.9721,0.9309,meteorological,meteorological,temperature_c_roll_min_14d,"High pairwise correlation (Pearson: 0.9721, Spearman: 0.9309)"
temperature_c_roll_min_14d,temperature_c_roll_median_30d,0.9678,0.928,meteorological,meteorological,temperature_c_roll_min_14d,"High pairwise correlation (Pearson: 0.9678, Spearman: 0.9280)"
temperature_c_roll_std_14d,temperature_c_roll_var_14d,0.9712,1.0,meteorological,meteorological,temperature_c_roll_std_14d,"High pairwise correlation (Pearson: 0.9712, Spearman: 1.0000)"
temperature_c_roll_mean_30d,temperature_c_roll_median_30d,0.9981,0.9962,meteorological,meteorological,temperature_c_roll_mean_30d,"High pairwise correlation (Pearson: 0.9981, Spearman: 0.9962)"
temperature_c_roll_mean_30d,temperature_c_roll_max_30d,0.9709,0.9284,meteorological,meteorological,temperature_c_roll_max_30d,"High pairwise correlation (Pearson: 0.9709, Spearman: 0.9284)"
temperature_c_roll_mean_30d,temperature_c_roll_min_30d,0.9705,0.9271,meteorological,meteorological,temperature_c_roll_min_30d,"High pairwise correlation (Pearson: 0.9705, Spearman: 0.9271)"
temperature_c_roll_median_30d,temperature_c_roll_max_30d,0.9649,0.9228,meteorological,meteorological,temperature_c_roll_max_30d,"High pairwise correlation (Pearson: 0.9649, Spearman: 0.9228)"
temperature_c_roll_median_30d,temperature_c_roll_min_30d,0.965,0.9196,meteorological,meteorological,temperature_c_roll_min_30d,"High pairwise correlation (Pearson: 0.9650, Spearman: 0.9196)"
temperature_c_roll_std_30d,temperature_c_roll_var_30d,0.9773,1.0,meteorological,meteorological,temperature_c_roll_std_30d,"High pairwise correlation (Pearson: 0.9773, Spearman: 1.0000)"
humidity_pct_roll_mean_3d,humidity_pct_roll_median_3d,0.9958,0.9938,meteorological,meteorological,humidity_pct_roll_mean_3d,"High pairwise correlation (Pearson: 0.9958, Spearman: 0.9938)"
humidity_pct_roll_mean_3d,humidity_pct_roll_max_3d,0.9812,0.9727,meteorological,meteorological,humidity_pct_roll_max_3d,"High pairwise correlation (Pearson: 0.9812, Spearman: 0.9727)"
humidity_pct_roll_mean_3d,humidity_pct_roll_min_3d,0.9826,0.9781,meteorological,meteorological,humidity_pct_roll_min_3d,"High pairwise correlation (Pearson: 0.9826, Spearman: 0.9781)"
